"","X","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"1",1,2,2.75,-0.75,-3.15,2.61734164606711,0.038714,0
"2",2,13.5,2.75,-0.75,-3.15,1.56319571998142,-0.0073139,0
"3",3,7.75,0,-0.75,-3.15,1.37301701728878,-0.0040575,0
"4",4,7.75,5.5,-0.75,-3.15,1.34184516343667,-0.007042,0
"5",5,7.75,2.75,-2,-3.15,2.32997173276828,0.0099415,0
"6",6,7.75,2.75,0.5,-3.15,1.21321296165291,-0.02247,0
"7",7,7.75,2.75,-0.75,-7,1.20023285008107,-0.0067572,0
"8",8,7.75,2.75,-0.75,0.7,0.988063793393999,-0.0061317,0
"9",9,2,0,-2,-7,1.32469547536179,0.029458,0
"10",10,13.5,0,-2,-7,2.33213019930434,0.0099342,0
"11",11,2,5.5,-2,-7,1.92418349634696,0.01241,0
"12",12,13.5,5.5,-2,-7,2.3321304813336,0.0099342,0
"13",13,2,0,0.5,-7,3.8760190033387,0.1052,0
"14",14,13.5,0,0.5,-7,1.60887231291758,-0.018359,0
"15",15,2,5.5,0.5,-7,4.01059125648178,0.015705,0
"16",16,13.5,5.5,0.5,-7,1.65350637367012,-0.030867,0
"17",17,2,0,-2,0.7,1.16513702961718,0.049217,0
"18",18,13.5,0,-2,0.7,2.08715401850105,0.0099253,0
"19",19,2,5.5,-2,0.7,1.40592615221734,0.016289,0
"20",20,13.5,5.5,-2,0.7,2.08715510464484,0.0099253,0
"21",21,2,0,0.5,0.7,2.25586603715745,27.862,0
"22",22,13.5,0,0.5,0.7,1.23527982739678,-0.0039371,0
"23",23,2,5.5,0.5,0.7,1.6093112738129,2.7267,0
"24",24,13.5,5.5,0.5,0.7,1.23527267407134,-0.0039384,0
"25",25,3.49285136465915,0.190547680598684,-0.430580024141818,-2.61782897443045,2.94449985082831,0.044144,0
"26",26,11.8982131602243,0.452906096470542,0.352157077402808,0.0387009489117194,1.39767144361106,-0.0129,0
"27",27,9.05485799803864,0.970032363315113,-0.714426891529001,-5.69356309641153,1.25951144850307,-0.006783,0
"28",28,11.9394979256904,3.09224533068482,0.283090460114181,-3.10951051188167,1.5882588437143,-0.021974,0
"29",29,5.89145821298007,4.32628424128052,-0.829777751816437,-3.06708369439002,1.06146803846308,-0.0064879,0
"30",30,4.5146360861836,1.02382071246393,-0.984804167994298,0.641500219958835,1.53900731791327,0.23378,0
"31",31,8.13287753751501,2.60013777471613,-0.426582373213023,-1.93238240680657,1.23467169639694,-0.0084409,0
"32",32,6.28134011244401,4.03386114560999,-1.52106001263019,-0.978946921206079,1.13492009254273,-0.0053239,0
"33",33,4.00295361049939,4.63493040390313,-1.20235350436997,-1.97742384867743,0.943394395821562,-0.0053304,0
"34",34,4.63765275315382,3.94499533879571,0.284162169671617,-0.167534759175032,3.12324107098026,0.0085034,0
"35",35,5.68791361933108,4.81383479037322,-1.37581555452198,-3.99565816114191,1.10565995834848,-0.0054514,0
"36",36,11.3287690434372,2.39977307000663,-1.43458225403447,-2.55858528984245,1.40917251817818,-0.0052314,0
"37",37,7.61305833084043,0.23359954461921,-0.311517708352767,-3.03008509732317,1.49281246135726,-0.0055266,0
"38",38,10.4630335351685,3.90978127904236,0.274709490011446,-2.55988079288509,1.5258531069905,-0.01969,0
"39",39,6.16742556798272,3.18993223144207,-1.15974523988552,-6.80516133783385,1.024013536319,-0.0056837,0
"40",40,6.61844249791466,4.21574345580302,-0.313761682366021,-6.17019390743226,1.14084658105553,-0.0093196,0
"41",41,5.38858229015023,0.891936305677518,-0.570657699019648,-0.548210691660643,2.22181456122178,0.068964,0
"42",42,11.1617441332201,1.65877804532647,-0.718556897947565,-4.08683112219442,1.4822157447882,-0.0069666,0
"43",43,7.23094877158292,3.80491955252364,-1.0926301345462,-4.20328143772204,1.20784933555819,-0.005823,0
"44",44,5.96887124120258,0.229995183413848,0.00839692493900657,-5.04035900132731,3.30167466472203,0.052086,0
"45",45,3.93832356017083,4.43057866184972,-1.99554775597062,-0.553787547419779,2.10348278101703,0.010333,0
"46",46,10.2419856716879,2.96973981556948,-0.417350320960395,-1.84867172944359,1.46456972095497,-0.0088534,0
"47",47,12.4646257334389,1.01343515177723,-1.12167596048675,-0.433531068707816,1.43516081151365,-0.0055634,0
"48",48,12.3460880038328,2.08931536774617,0.238738518208265,-5.28191615662072,1.59112165213166,-0.019118,0
"49",49,8.26607228268404,4.94930574821774,-1.97104169975501,-5.2779295001179,2.46349677767918,0.008625,0
"50",50,10.5330562697491,1.46484755980782,-1.02465714141726,-5.98406551035587,1.42301739167916,-0.0059165,0
"51",51,7.08962190616876,4.6425938497996,0.36044512654189,-3.73480951560196,1.24302090174568,-0.01914,0
"52",52,6.62428253423423,0.566153731080703,-1.91291121172253,-3.87747774731833,2.09963547300443,0.010608,0
"53",53,13.5,5.5,-2,-2.40346817197404,2.33060467028035,0.0099321,1
"54",54,13.5,3.22740796146118,-2,-0.658032989054894,2.27209380193829,0.0099091,2
"55",55,13.5,3.70103441148615,-2,-4.38522675698043,2.33211448833676,0.0099342,3
"56",56,11.3268608805225,5.5,-2,-0.433157436397328,2.2464676932212,0.0099073,4
"57",57,13.5,0.870853336793669,-1.9999999996189,-2.71538223221024,2.33138355427004,0.0099331,5
"58",58,11.9652459434163,3.5866018859641,-2,0.7,2.08715488615665,0.0099253,6
"59",59,13.5,1.61541311434135,-2,-5.25468133683895,2.33212834792133,0.0099342,7
"60",60,9.59871539276503,5.5,-2,0.7,2.08710513049646,0.0099256,8
"61",61,11.7681328704923,4.09825051344384,-2,-2.32416770900688,2.33030163509861,0.0099317,9
"62",62,13.5,2.02785416228299,-2,0.7,2.08715509446154,0.0099253,10
"63",63,11.6421109283713,1.50851223770041,-2,-1.07270745825145,2.30404337081344,0.009915,11
"64",64,13.5,5.5,-2,-4.74753371007552,2.33212355886609,0.0099342,12
"65",65,13.5,0,-2,-1.20295263720147,2.31050372809445,0.0099173,13
"66",66,13.5,2.75657207449574,-2,-2.52809934132372,2.33098315439596,0.0099326,14
"67",67,10.0273725144359,3.34671051269191,-1.99999999998829,-1.03091564702272,2.30163969313016,0.0099143,15
"68",68,13.5,0,-2,-4.22263007290777,2.33210692696995,0.0099342,16
"69",69,13.5,5.5,-2,-0.893698486784319,2.29256096689614,0.0099121,17
"70",70,11.8158247902915,0.847564680387142,-1.99999999969354,0.7,2.08714735272279,0.0099253,18
"71",71,8.25804217430076,3.05546433015122,-1.99999999983322,0.7,2.08601022912464,0.0099329,19
"72",72,11.5666140023998,1.91672564624426,-2,-3.97690056577333,2.33208894139415,0.0099341,20
"73",73,13.5,4.00660595944761,-2,0.7,2.08715510454131,0.0099253,21
"74",74,10.5954107882879,2.44987009159662,-2,0.7,2.08714697389441,0.0099253,22
"75",75,10.3342479885635,5.5,-1.999999999995,-2.49480614059179,2.3308881227885,0.0099325,23
"76",76,11.919038560937,5.5,-2,0.7,2.08715487151409,0.0099253,24
"77",77,8.28913284846674,5.4999999999713,-2,-0.801283949881021,2.28478278906196,0.0099127,25
"78",78,11.530271315239,0,-2,-2.48676155736182,2.33084266401663,0.0099326,26
"79",79,13.5,5.5,-0.605623089228175,0.7,1.17736631248809,-0.0049402,27
"80",80,10.0317755573298,2.07108251476713,-2,-2.32044579856421,2.33027073410993,0.0099318,28
"81",81,12.01465094096,5.5,-1.99999965926037,-3.63592743887876,2.33204189663013,0.0099341,29
"82",82,11.0733714212707,0,-2,-0.265677739316774,2.22368501003663,0.0099072,30
"83",83,13.5,1.592394583511,-2,-0.956978637141841,2.29699368383909,0.009913,31
"84",84,6.9925849852405,4.62548887638372,-1.00590232142103,-3.49872469244314,1.22139111944514,-0.0059924,32
"85",85,10.5393271331357,4.31681997699532,-2,0.7,2.08714932785232,0.0099253,33
"86",86,7.39968130315546,5.5,-2,0.7,2.08100541167142,0.0099624,34
"87",87,13.4999999983833,0.499837778291713,-0.481680126811852,0.57764087152483,1.2118228419696,-0.0050211,35
"88",88,12.0913737124275,2.92282366135408,-2,-1.4264544895805,2.31857860772117,0.0099213,36
"89",89,13.5,4.19577297274433,-2,-1.69334883895845,2.32454948179866,0.0099257,37
"90",90,10.4828646435891,1.17298567715641,-1.99999999966547,-5.45322743783756,2.33210649378849,0.0099343,38
"91",91,9.63143792064521,1.30291418849086,-1.9999999931375,0.210087676249667,2.15123131237223,0.0099097,39
"92",92,7.16753184827108,3.88795046779633,-2,-0.536091917989977,2.25205234306804,0.0099318,40
"93",93,10.979025433926,3.45793979448469,-0.517232626072369,-2.81051796287559,1.51384572768744,-0.009282,41
"94",94,12.3427507977096,0.113063617521982,-0.477897073342341,0.245433273666231,1.30409889646397,-0.0052567,42
"95",95,5.92548890302249,4.39089873477822,-1.90622263418098,-2.98021699195507,2.80276458700497,0.0054399,43
"96",96,12.1253333233845,2.66571165797614,-0.764402596020879,-3.31681402147561,1.5373508839883,-0.0076387,44
"97",97,7.74827874118372,0.483567465446637,-2,-2.99070008019749,2.27683950538816,0.010237,45
"98",98,13.5,3.12336176800645,-2,-6.1652090408245,2.33213025395471,0.0099342,46
"99",99,13.5,3.08482969358841,-0.837572010310086,0.7,1.17406078997634,-0.0049879,47
"100",100,10.2802657774195,0,-2,0.7,2.08534312782199,0.0099347,48
"101",101,13.5,4.37821769332899,-0.252778309613546,0.7,1.19166107477528,-0.004797,49
"102",102,8.38254016344107,2.56576549031375,-2,-1.50948861553162,2.3203068299191,0.0099249,50
"103",103,6.87040166049328,3.62033208494506,-1.06686880166278,-6.39709330870577,1.14917012888403,-0.0058845,51
"104",104,7.85231305397363,2.92704423439531,-0.298612497252914,-2.984248393391,1.21899664356493,-0.0094483,52
"105",105,10.8022440831968,3.22471110617204,-2,-3.18137650443657,2.33187296853084,0.0099338,53
"106",106,12.2281227867582,2.32363882202325,-1.9999999947091,0.699995746582907,2.0871553913629,0.0099253,54
"107",107,12.1855697014707,2.00402213972863,-0.270985384828692,-4.75065089514634,1.56135194932849,-0.011205,55
"108",108,7.57970774303543,2.07176407276902,-2,0.7,2.0724025906129,0.0099997,56
"109",109,12.3996692043035,0,-2,-0.337334517564507,2.23377801147373,0.0099069,57
"110",110,12.5200723477562,1.03580786535147,-0.136436641798273,0.294250814174045,1.30293257131689,-0.0053124,58
"111",111,8.77065800797993,0.635216836946688,-2,0.7,2.07293872147023,0.009998,59
"112",112,12.0662775495195,5.5,-2,-1.58963013937337,2.32260764939219,0.0099241,60
"113",113,8.78714236777855,4.38177709509744,-2,0.7,2.08683174418453,0.0099273,61
"114",114,9.87181722190262,5.5,-2,-1.05260230017054,2.30289968549619,0.0099147,62
"115",115,13.5,1.63600453106858,-0.711581956967375,-0.121187485813626,1.44522619402818,-0.0064465,63
"116",116,7.3269181552914,4.23834346727455,-0.335104286863591,-3.5811437039794,1.23594313268997,-0.0091357,64
"117",117,12.3171704111521,4.34673938493134,-2,-0.447110991860978,2.24822703212877,0.0099074,65
"118",118,13.5,2.13800045971844,-2,-3.73261964536328,2.33205849480527,0.0099341,66
"119",119,8.19317888065268,5.5,-2,-3.02179901236376,2.33118785941564,0.0099359,67
"120",120,11.8718134274094,3.06283146369743,-0.378148242438826,-2.38611932993935,1.55227085669219,-0.010957,68
"121",121,9.88364967805811,0,-2,-1.37950244977742,2.31594405249297,0.0099273,69
"122",122,6.38321276002561,4.42351876129015,-0.7922841122359,-3.96327353269283,1.13082083454422,-0.0065986,70
"123",123,5.14979760608326,1.01485162882822,-1.67117262969752,0.272504668850297,1.3241792135557,0.034884,71
"124",124,5.96452129572186,4.44683158040679,-2,-0.384987695895493,2.18874271314875,0.010018,72
"125",125,13.5,0,-0.174671866811743,-0.17025529132352,1.48060989640754,-0.0078373,73
"126",126,10.5182242826884,3.86711169612718,-0.525770050172664,-2.09051471848012,1.49548188481475,-0.0091658,74
"127",127,13.4999999990325,4.6357081556665,-0.607132750078116,-0.420943429193741,1.51671616285101,-0.0077508,75
"128",128,13.5,2.62628053363196,-0.698095680762561,-1.37123597357017,1.56126684270386,-0.0076041,76
"129",129,13.5,3.38064678818789,-0.462420168489901,-0.334642033559621,1.51636322273865,-0.0088068,77
"130",130,12.5656457941366,2.42126907663287,-0.804509049750464,-0.295792160235214,1.46693307429406,-0.0068286,78
"131",131,13.5,5.5,-0.0973578428858752,-0.147138248394364,1.50604533946321,-0.012624,79
"132",132,12.1676253154914,1.7369161270625,-2,-2.50788614348298,2.33092864648791,0.0099325,80
"133",133,13.5,2.21493323988237,-0.334066319478899,0.7,1.18747895277788,-0.00484,81
"134",134,11.7610085074061,0.834785902962225,-0.529380266459183,-0.0791051895255424,1.39561655477781,-0.0068697,82
"135",135,11.8035600248668,0,-2,-4.40992529934211,2.33210121629072,0.0099343,83
"136",136,13.5,4.46895650015806,-2,-3.33630770888226,2.33195122872468,0.0099339,84
"137",137,9.59157930409101,3.24250645551305,-2,0.7,2.08709926805093,0.0099256,85
"138",138,12.9000455437136,0,-0.0102010176349544,0.7,1.20623236058726,-0.0046255,86
"139",139,12.6163851678364,1.5087049526797,-0.937440843759742,0.7,1.17410933634324,-0.0050024,87
"140",140,11.2053045783245,2.86587719065522,-2,-0.351653552806411,2.23572319459492,0.0099069,88
"141",141,6.72848343612057,3.25573577462842,-2,0.7,2.06442712012329,0.010043,89
"142",142,13.5,3.48347874151402,-0.65513264813536,-2.22703712415617,1.57136712077453,-0.0079774,90
"143",143,12.4442586678897,4.58901590040699,-0.73770952813988,0.7,1.17478252814651,-0.0049748,91
"144",144,12.6177562727369,3.30080058362153,-0.367642272771219,-2.9916727872864,1.57649508598268,-0.011321,92
"145",145,8.72354685914995,0,-2,-0.403320156538475,2.22156284145633,0.010022,93
"146",146,12.4511434983835,3.2189961917501,-0.591792516608134,0.7,1.17766388402402,-0.0049424,94
"147",147,9.38702885485043,1.09944378073918,-1.42651968150617,-5.68486551100033,1.32597709557515,-0.0053455,95
"148",148,13.5,1.05413417421804,-2,0.7,2.08715500876237,0.0099253,96
"149",149,11.8120256306333,2.1498438053185,-0.749097253823565,0.7,1.17445883422033,-0.0049908,97
"150",150,10.9452237185499,2.76379898999302,-0.991440138465338,-1.89099305905197,1.47743183619868,-0.006345,98
"151",151,13.5,1.98210916773244,-0.775739469688201,-2.16094106811492,1.55947305557604,-0.0071298,99
"152",152,13.5,0.890299353121578,-0.631654181664461,-0.914683090586342,1.55163646712197,-0.0076113,100
