"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order","typ"
"1",7.75,2.75,0.5,-3.15,16.3463793767486,0.0022257,0,"+Acid"
"2",5.72404472519594,3.72270103808268,0.0191371092126894,-5.10845523159717,10.869843983099,0.0011565,107,"+Acid"
"3",3.91785834985464,5.34192992061822,-0.96073253441967,-6.72378735828857,9.01159462269821,0.00054157,109,"+Acid"
"4",5.40043741464615,5.22872367501259,0.17389190196991,-1.33969748020172,12.50625719107,0.0015516,118,"+Acid"
"5",12.1669253472406,3.52945801168743,0.396520913155498,-6.54396213435102,40.4137824095392,0.0026573,310,"+Acid"
"6",10.5564807539993,5.23714255169034,0.263242543695433,-4.64838562421221,35.0014510399017,0.0023094,320,"+Acid"
"7",6.27987120620949,5.09816308429383,0.305657383585017,-6.64818255438722,15.0113037583287,0.0017972,348,"+Acid"
"8",7.75,2.75,0.5,-3.15,16.3385293141826,0.0022249,0,"+Base"
"9",13.5,5.5,0.5,-7,45.0304589872741,0.0030867,0,"+Base"
"10",6.60007033019792,5.08903866482433,-1.22354888985865,0.674589985795319,8.92813068605354,0.00046926,213,"+Base"
"11",11.7143281768438,3.27405950434571,0.444170702336965,-4.2656645930467,38.8548436353266,0.0025721,215,"+Base"
"12",4.65688681602478,5.24798186123371,-0.171636462211609,-2.19179527461529,10.3461134547212,0.0010402,237,"+Base"
"13",13.1221649649479,5.23350606255623,0.389066613400745,-0.0645697400905192,32.9211382953029,0.0022591,264,"+Base"
"14",5.92371207347605,5.09989297634456,0.241898703505285,-6.87935188859701,13.6227799136549,0.0016707,266,"+Base"
"15",4.86614892502239,4.9602918419742,-0.922799292085255,-0.469047826845183,9.44959832658104,0.00058353,286,"+Base"
"16",3.32331032293221,5.37605750618486,-1.27436345946455,-2.50008005923297,8.88715314629574,0.00022767,299,"+Base"
